I_A,L_diff_uH,lambda_mVs,L_secant_uH
0,600.0,0.0000,600.0
1,597.3,0.5990,599.0
2,592.1,1.1938,596.9
3,585.1,1.7825,594.2
4,576.8,2.3635,590.9
5,567.5,2.9358,587.2
6,557.5,3.4984,583.1
7,546.8,4.0506,578.7
8,535.6,4.5918,574.0
9,524.2,5.1217,569.1
10,512.4,5.6400,564.0
11,500.6,6.1466,558.8
12,488.7,6.6412,553.4
13,476.8,7.1239,548.0
14,465.0,7.5948,542.5
15,453.3,8.0539,536.9
16,441.7,8.5014,531.3
17,430.4,8.9374,525.7
18,419.2,9.3622,520.1
19,408.3,9.7759,514.5
20,397.7,10.1789,508.9
21,387.3,10.5714,503.4
22,377.2,10.9536,497.9
23,367.4,11.3258,492.4
24,357.8,11.6884,487.0
25,348.5,12.0415,481.7
26,339.5,12.3855,476.4
27,330.8,12.7207,471.1
28,322.4,13.0473,466.0
29,314.2,13.3655,460.9
30,306.3,13.6758,455.9
31,298.6,13.9782,450.9
32,291.2,14.2731,446.0
33,284.1,14.5608,441.2
34,277.2,14.8414,436.5
35,270.5,15.1152,431.9
36,264.0,15.3824,427.3
37,257.8,15.6433,422.8
38,251.7,15.8980,418.4
39,245.9,16.1468,414.0
40,240.2,16.3898,409.7
41,234.8,16.6273,405.5
42,229.5,16.8594,401.4
43,224.4,17.0863,397.4
44,219.4,17.3082,393.4
45,214.7,17.5252,389.4
46,210.0,17.7376,385.6
47,205.6,17.9454,381.8
48,201.2,18.1487,378.1
49,197.0,18.3479,374.4
50,193.0,18.5428,370.9
51,189.0,18.7338,367.3
52,185.2,18.9210,363.9
53,181.5,19.1044,360.5
54,178.0,19.2841,357.1
55,174.5,19.4603,353.8
56,171.1,19.6331,350.6
57,167.9,19.8027,347.4
58,164.7,19.9689,344.3
59,161.7,20.1321,341.2
60,158.7,20.2923,338.2
61,155.8,20.4495,335.2
62,153.0,20.6039,332.3
63,150.3,20.7555,329.5
64,147.6,20.9044,326.6
65,145.0,21.0507,323.9
66,142.5,21.1945,321.1
67,140.1,21.3358,318.4
68,137.7,21.4747,315.8
69,135.4,21.6113,313.2
70,133.2,21.7457,310.7
71,131.0,21.8778,308.1
72,128.9,22.0078,305.7
73,126.9,22.1356,303.2
74,124.9,22.2615,300.8
75,122.9,22.3854,298.5
76,121.0,22.5073,296.1
77,119.2,22.6274,293.9
78,117.3,22.7457,291.6
79,115.6,22.8621,289.4
80,113.9,22.9769,287.2
81,112.2,23.0899,285.1
82,110.6,23.2013,282.9
83,109.0,23.3111,280.9
84,107.4,23.4193,278.8
85,105.9,23.5259,276.8
